#YYY/MM/DD HH:mm:SS.ss ET GT MAG  M    LAT       LON      DEPTH Q  EVID      NPH NGRM
2002/01/02 12:11:28.68 eq  l 4.21 l   33.37933 -116.43450  11.2 A  9742277   80 1587
2002/01/19 23:44:29.21 eq  l 4.19 l   31.04883 -115.38733   6.6 D  9750141   17  625
2002/01/29 05:53:28.93 eq  l 4.18 l   34.36133 -118.65717  13.7 A  9753485  129 1596
2002/02/22 19:32:41.75 eq  l 5.70 w   32.31883 -115.32150   7.0 C 12456384   32 1609
2002/02/22 20:33:49.14 eq  l 4.13 l   32.30433 -115.33317   7.0 C 12456476   18 1608
2002/03/16 21:33:23.82 eq  l 4.60 l   33.66600 -119.33000   6.8 C 12659440   75 1616
2002/04/05 08:02:56.05 eq  l 4.39 l   34.52400 -116.29467   4.5 C  9775765   88 1662
2002/04/29 12:24:41.10 eq  l 4.10 l   32.05350 -114.95733   6.0 C 12883788   14  631
2002/06/14 12:40:45.36 eq  l 4.58 w   36.71633 -116.29300   9.7 B 13657604   34 1667
2002/09/03 07:08:51.84 eq  l 4.78 l   33.91233 -117.78333   9.4 A  9818433  406 1594
2002/09/04 12:24:15.34 eq  l 4.15 l   30.09483 -116.82233   6.5 D  9819221   22  484
2002/09/21 21:26:16.64 eq  l 4.31 l   33.22483 -116.11283  14.4 A  9826789  102 1693
2002/09/28 10:34:47.16 eq  l 4.13 l   35.94617 -117.30350   2.6 A  9828889   64 1710
2002/10/29 14:16:54.08 eq  l 4.77 l   34.80267 -116.26650   3.7 A  9854597   57 3242
2002/11/12 16:48:25.82 eq  l 4.22 l   35.96167 -120.56767   8.6 C 13909920   39 1678
2002/11/26 13:45:51.93 eq  l 4.08 l   32.09967 -115.00750   7.0 C 13912892   21  767
2002/12/10 21:04:00.69 eq  l 4.84 l   32.23167 -115.79817   6.8 C 13917260   54 1668
2002/12/12 21:03:43.20 eq  l 4.21 l   32.36717 -115.20183   7.0 C  9869697   29  679
2003/01/25 09:16:10.22 eq  l 4.54 l   35.31750 -118.65383   4.9 C  9882329  100 1769
2003/02/07 10:34:04.83 eq  l 4.99 l   31.62817 -115.51067   7.5 C  9886485   47 1795
2003/02/22 12:19:10.92 eq  l 4.99 w   34.31200 -116.84483   5.6 A 13935988  554 1728
2003/02/22 12:20:15.64 eq  l 4.00 h   34.31100 -116.84733   2.8 A 13935992   61 1728
2003/02/22 12:21:33.13 eq  l 4.34 l   34.31083 -116.85067   2.8 A 13935996  104 1728
2003/02/22 12:25:13.64 eq  l 4.01 l   34.32600 -116.85717   8.1 C 13936076  128 1732
2003/02/22 14:16:08.42 eq  l 4.10 l   34.32417 -116.85800   2.5 A 13936432  193 1718
2003/02/22 19:33:45.80 eq  l 4.50 l   34.30967 -116.85033   1.4 A 13936812  175 1719
2003/02/25 04:03:04.80 eq  l 4.61 l   34.31550 -116.84450   1.1 A 13938812  230 1795
2003/02/27 05:00:21.70 eq  l 4.04 l   34.30433 -116.84300   3.0 A 13939856  177 1799
2003/03/11 19:28:17.91 eq  l 4.64 l   34.35917 -116.13317   3.1 A 13945908  153 1813
2003/05/24 02:04:28.95 eq  l 4.17 l   32.94850 -115.55033  16.0 A 13966396   71 1842
2003/06/26 06:20:01.01 eq  l 4.06 l   32.01567 -117.38400   5.7 C 13974072   27 1815
2003/07/15 06:15:50.75 eq  l 4.15 l   34.62167 -116.66717   6.5 A  9930549  158 1743
2003/10/08 11:26:22.50 eq  l 4.29 l   32.16800 -115.42500   6.0 C  9949793   52 1910
2003/12/20 16:35:23.88 eq  l 4.00 l   37.17883 -117.85517   7.8 C  9966033   62 1319
2004/02/14 12:43:11.23 eq  l 4.34 l   35.03983 -119.14500  10.4 A  9983429  312 1918
2004/05/09 08:57:17.30 eq  l 4.40 l   34.39467 -120.02233   3.9 A 10006857  256 1930
2004/06/15 22:28:48.19 eq  l 4.98 w   32.34283 -117.91417   9.8 C 14065544  224 1938
2004/07/14 00:53:52.48 eq  l 4.02 l   33.71100 -116.05567  12.7 A 14073800  100 1928
2004/07/24 12:55:19.90 eq  l 4.27 l   34.38050 -119.43600   3.4 A 14077668  224 1929
2004/08/22 01:25:12.35 eq  l 4.16 l   32.34183 -115.22417   6.0 C 14086684   58 1893
2004/09/29 22:54:54.24 eq  l 5.03 w   35.38983 -118.62350   2.8 A 14095628  246 1902
2004/11/13 17:39:16.93 eq  l 4.19 l   34.35350 -116.84467   8.0 A 10059745  221 1890
2005/01/06 14:35:27.68 eq  l 4.42 l   34.12383 -117.44483   6.1 A 14116972  359 1844
2005/01/12 08:10:46.38 eq  l 4.26 l   33.95267 -116.39533   7.1 A 14118096  223 1803
2005/02/02 13:17:39.74 eq  l 4.05 l   31.93850 -116.22300   6.6 C 14123056   29 1387
2005/02/15 22:23:27.31 eq  l 4.21 l   31.64833 -115.97150   3.7 C 10081017   25 1922
2005/04/16 19:18:13.40 eq  l 4.59 w   35.02233 -119.19100   9.3 A 14138080  344 1892
2005/04/19 18:17:59.05 eq  l 4.30 l   31.51667 -115.54833   5.9 C 14138740   29 1123
2005/05/06 02:29:09.51 eq  l 4.06 l   35.03067 -119.18133  10.7 A 10097009  241 1896
2005/05/21 00:39:32.69 eq  l 4.06 l   33.22350 -116.20483  14.9 A 14146956  169 1871
2005/06/12 15:41:46.52 eq  l 5.20 w   33.53250 -116.56667  13.1 A 14151344  355 1886
2005/06/16 20:53:26.02 eq  l 4.88 w   34.05800 -117.01133  10.6 A 14155260  326 1871
2005/07/24 12:59:42.87 eq  l 4.11 l   33.67400 -119.76100   5.8 C 14165408  193 1814
2005/08/06 05:40:33.46 eq  l 4.38 l   36.13917 -118.04500  -1.8 A 14169456  117 1899
2005/08/31 22:47:45.53 eq  l 4.63 l   33.16633 -115.63517   4.0 C 14178184  141 2342
2005/08/31 22:50:24.03 eq  l 4.46 l   33.17217 -115.61150   2.0 A 14178188   54 2342
2005/08/31 23:07:16.45 eq  l 4.20 l   33.17583 -115.61800   4.6 A 14178212   61 2344
2005/08/31 23:27:32.19 eq  l 4.45 l   33.19833 -115.58917   2.9 A 14178236   81 2347
2005/08/31 23:32:11.04 eq  l 4.57 l   33.18967 -115.60300   4.3 A 14178248   70 2347
2005/09/01 13:50:20.19 eq  l 4.48 l   33.17833 -115.63283   0.0 A 14179292   39 2377
2005/09/02 01:27:18.61 eq  l 4.50 h   33.17483 -115.63117   5.0 A 12217067   60 1886
2005/09/02 01:27:19.59 eq  l 5.08 w   33.15333 -115.64633   1.2 A 14179736  194 2373
2005/09/22 20:24:04.88 eq  l 4.47 l   35.03383 -119.00967  10.1 A 14186608  101 1889
2005/09/22 20:24:48.62 eq  l 4.69 w   35.04333 -119.01433  10.0 A 14186612  208 1889
2005/09/22 20:30:52.41 eq  l 4.18 l   35.04483 -119.00700  10.2 A 14186628   77 1889
2005/10/16 21:11:35.01 eq  l 4.99 l   32.45450 -118.16333   9.8 C 10147909  129 1934
2005/10/18 04:08:41.52 eq  l 4.10 l   34.01417 -116.77533  15.7 A 10148369  193 1866
2005/10/18 07:31:03.47 eq  l 4.42 l   34.01217 -116.77550  17.8 A 10148421  255 1776
2005/10/19 08:51:26.01 eq  l 4.26 l   32.49667 -118.14500   9.8 C 10148829   92 1780
2005/12/03 07:49:34.59 eq  l 4.17 l   34.32900 -116.83317   3.7 A 14201764  259 1961
2006/03/29 01:36:23.01 eq  l 4.11 l   35.62183 -117.58750   7.9 A 14219360   84 1895
2006/05/24 04:20:26.01 eq  l 5.37 w   32.30667 -115.22783   6.0 C 12245763   29 1905
2006/05/27 10:21:34.72 eq  l 4.30 l   32.27833 -115.20483  10.0 C 10185301   34 1781
2006/05/28 07:40:17.16 eq  l 4.25 l   32.24333 -115.13533   6.0 D 10185397   55  966
2006/05/28 11:55:23.14 eq  l 4.49 l   32.34617 -115.21883   6.0 C 10185465   36 1792
2006/06/13 15:30:21.79 eq  l 4.49 l   31.83833 -116.36250   5.3 C 14233052   20 1882
2006/06/30 00:28:06.56 eq  l 4.37 l   33.24067 -116.03600   3.5 A 14236768  108 1857
2006/07/12 22:20:50.22 eq  l 4.02 l   36.07100 -117.90217   3.0 A 14239764  183 1859
2006/09/14 00:11:06.11 eq  l 4.05 l   32.69517 -116.05283   9.9 A 10207681  172 1889
2006/10/09 20:26:50.86 eq  l 4.01 l   33.26100 -116.06783   9.0 A 14255632  163 1927
2006/11/03 15:56:43.05 eq  l 4.62 l   32.67600 -116.04817  13.4 A 10215753  119 1910
2006/11/29 21:10:55.43 eq  l 4.11 l   32.82050 -115.97250   3.6 A 14263712   96 1942
2006/12/08 22:46:10.00 eq  l 4.33 l   31.79433 -116.31183   5.1 C 10221893   26  925
2006/12/11 13:21:08.41 eq  l 4.07 l   31.82050 -116.35433   5.1 C 10222185   32 1939
2006/12/24 03:43:38.86 eq  l 4.11 l   33.70683 -116.05083  12.7 A 10223765  127 1954
2007/02/09 03:33:44.07 eq  l 4.29 l   33.21133 -116.14800  11.9 A 10230869  197 1968
2007/03/30 09:09:35.83 eq  l 4.11 l   36.02767 -117.77533  -0.7 A 14282008   52 1820
2007/04/15 22:57:26.72 eq  l 4.41 l   32.69233 -116.05650   7.7 A 14285168  160 1937
2007/05/05 00:01:43.00 eq  l 4.18 l   32.06183 -115.87217   6.2 C 14288992   34 1402
2007/06/01 02:08:37.83 eq  l 4.06 l   32.67533 -116.11050  11.5 A 14295380  186 1917
2007/06/02 05:11:26.47 eq  l 4.26 l   33.87183 -116.21183   4.2 A 14295640  223 1976
2007/08/09 07:58:49.59 eq  l 4.66 l   34.29950 -118.61950   7.1 A 14312160  303 2005
2007/09/02 17:29:14.79 eq  l 4.73 l   33.73217 -117.47700  12.2 A 10275733  352 1969
2007/09/04 14:47:59.64 eq  l 4.06 l   32.76700 -117.34067  10.8 A 10276197  103 1940
2007/10/16 08:53:44.12 eq  l 4.20 l   34.38533 -117.63467   6.4 A 10285533  336 1979
2007/10/24 12:22:48.77 eq  l 4.34 l   35.83800 -117.68467   3.5 A 14330056  204 1939
2007/11/28 22:49:29.30 eq  l 4.17 l   31.67917 -115.51300   5.8 C 14335368   15 1230
2007/12/19 12:14:09.63 eq  l 4.06 l   34.15617 -116.98133   7.8 A 10295849  205 1922
2007/12/20 16:35:22.89 eq  l 4.41 l   31.74883 -116.27417   7.7 C 10296113   64 1433
2008/02/09 07:12:04.55 eq  l 5.10 w   32.35950 -115.27733   6.0 D 14346868  201 1910
2008/02/11 18:29:30.53 eq  l 5.10 w   32.32717 -115.25683   6.0 C 14348196   91 1927
2008/02/12 04:32:39.24 eq  l 4.97 w   32.44750 -115.31750   6.0 C 14348588   63 1942
2008/02/12 04:40:46.78 eq  l 4.04 l   32.43817 -115.29050   6.0 C 14348592   38  859
2008/02/12 09:20:11.73 eq  l 4.25 l   32.44250 -115.29800   6.0 C 14348824   54 1281
2008/02/12 09:27:19.85 eq  l 4.45 l   32.46317 -115.30583   6.0 C 14348840   57 1936
2008/02/19 22:41:29.66 eq  l 5.01 w   32.43250 -115.31300   6.0 C 14351140   54 1963
2008/02/20 01:28:55.45 eq  l 4.83 l   32.42617 -115.30633   6.0 C 14351300   62 1963
2008/02/22 19:31:18.48 eq  l 4.78 l   32.42100 -115.28533   6.0 C 14352012   66 1957
2008/02/22 19:33:52.14 eq  l 4.58 l   32.39017 -115.26983   6.0 C 12330895   49 1942
2008/03/29 22:01:42.84 eq  l 4.18 l   32.38417 -115.23333   7.0 C 14358796   49 1467
2008/04/21 14:16:23.04 eq  l 4.06 l   31.99667 -115.55733   6.0 C 10319593   61 1317
2008/04/23 01:55:29.40 eq  l 4.14 l   34.86600 -116.34033   4.6 A 10319993  174 1954
2008/05/01 03:55:35.97 eq  l 4.19 l   33.44300 -116.45400   9.2 A 10321561  240 2018
2008/05/01 08:11:43.22 eq  l 4.43 l   35.47333 -118.42533   4.8 C 10321585  271 2019
2008/05/09 22:38:08.35 eq  l 4.06 l   33.44583 -116.45550   9.3 A 14367532  154 1991
2008/06/18 06:50:25.96 eq  l 4.35 l   31.83333 -116.35567   5.5 C 14375776   42 1577
2008/07/29 18:42:15.67 eq  l 5.44 w   33.94850 -117.76633  15.5 A 14383980  459 1889
2008/09/05 21:54:33.59 eq  l 4.63 l   32.34683 -115.22950  15.0 C 10347253   76 1965
2008/10/02 09:41:49.27 eq  l 4.14 l   34.08383 -116.96783  11.3 A 14396336  303 1986
2008/11/17 12:35:42.26 eq  l 4.11 l   33.49967 -116.86133  10.8 A 14403732  306 1992
2008/11/20 19:23:00.19 eq  l 4.98 l   32.32883 -115.33183   6.0 C 14404512  103 1917
2008/11/29 21:14:09.07 eq  l 4.03 l   35.97067 -117.32633   0.2 A 14406196   90 2021
2008/11/30 13:03:07.28 eq  l 4.04 l   35.97133 -117.31983   2.5 A 14406304  151 2043
2008/12/02 16:53:09.12 eq  l 4.03 l   35.97117 -117.32217   2.3 A 14407020   78 2011
2008/12/06 04:18:42.85 eq  l 5.06 w   34.81333 -116.41883   6.4 A 14408052  298 2010
2008/12/13 17:16:46.47 eq  l 4.01 l   35.97200 -117.31733  -1.0 A 10366101   88 1990
2008/12/13 19:28:21.13 eq  l 4.03 l   31.29783 -116.92733   5.8 C 10366149   27  317
2008/12/14 08:41:26.45 eq  l 4.03 l   32.55367 -115.53667  15.0 C 10366249   71 1380
2008/12/28 05:17:07.47 eq  l 4.52 l   32.56817 -115.54283  10.0 C 10368325   99 1906
2009/01/09 03:49:46.27 eq  l 4.45 w   34.10733 -117.30417  13.8 A 10370141  342 1915
2009/01/29 08:41:59.12 eq  l 4.19 l   32.69317 -118.22650   9.7 C 10374021  117 1897
2009/01/31 21:09:22.59 eq  l 4.39 l   35.41350 -117.78583   7.4 A 14418600  233 1931
2009/03/24 11:55:43.93 eq  l 4.77 l   33.31717 -115.72817   6.0 A 14433456  144 1972
2009/04/12 03:19:24.00 eq  l 4.22 l   32.32533 -115.25367   6.0 C 14443616   59 1278
2009/04/12 09:41:27.83 eq  l 4.30 l   32.07350 -115.75833   5.8 C 14443704   59 1446
2009/05/02 01:11:13.66 eq  l 4.42 l   34.06667 -118.88250  13.9 A 10403777  179 2022
2009/05/08 20:27:13.95 eq  l 4.17 l   34.44017 -119.18250   7.3 A 10406593  247 2071
2009/05/18 03:39:36.34 eq  l 4.70 w   33.93767 -118.33567  13.8 A 10410337  294 2067
